class_id,title,description
3,Goings-On Down Under,"Things are looking up for National Australia Bank, which could be a good foreign investment."
4,New Palm system targets smart phones,The maker of Palm operating systems for handheld computers plans to introduce Tuesday its first version designed specifically for so-called smart phones.
1,U.S. Expats Jump on Planes to Vote in Home States (Reuters),"Reuters - Determined to make sure their voices\count, some American expatriates who missed registration\deadlines or are worried about the reliability of absentee\ballots are flying home next week just to vote."
1,Islamist group executes Italian hostage in Iraq: Al-Jazeera. (AFP),"AFP - An Islamist group has executed Italian hostage Enzo Baldoni in Iraq, Arabic-language satellite news channel Al-Jazeera reported."
1,Nine Killed as Ugandan Army Disarms Pastoralists (Reuters),"Reuters - Six Karamojong warriors and three\government troops were shot dead during an operation to disarm\the pastoralist nomads in remote northeastern Uganda, the army\said on Friday."
2,Rossley Fine With His Reduced Role (AP),AP - Packers offensive coordinator Tom Rossley says he's fine with his reduced role after being been stripped of his play-calling duties for health reasons.
2,Dowie relieved by victory,Boss Iain Dowie admitted his relief after Crystal Palace grabbed their first Premiership win of the season. Dowie also singled out Andy Johnson for special praise after the striker scored to set Palace on their way to a 2-0 win over London rivals Fulham.
2,"Highlights from NBC #39;s Olympic coverage, and a look ahead",HIGHLIGHT: Gymnastics team Al Trautwig and Tim Daggett #39;s superb job on the audience #39;s protest of Alexei Nemov #39;s score on the high bars.
2,Grizzlies Name Fratello Head Coach," MEMPHIS, Tenn. (Sports Network) - Mike Fratello returned to  the NBA coaching ranks Thursday when the Memphis Grizzlies  selected the former Atlanta Hawks and Cleveland Cavaliers coach  as their new head coach."
2,Villeneuve test could lead to F-1 ride with Renault,Jacques Villeneuve will test for Renault today and tomorrow and the former Formula One champion could be back racing as early as next week.
2,Gary Payton Arrested for DUI (Reuters),"Reuters - According to the California\Highway Patrol, NBA star Gary Payton was arrested for\investigation of driving under the influence last month."
3,A deal would officially end billing disputes,The Pentagon has all but abandoned hope that Halliburton Co. will be able to fully account for all expenses associated with supporting US troops in Iraq and is considering an accounting armistice.
1,Rivalry voiced as Libyan singer outpolls Palestinian,"SALFIT, West Bank: Arab rivalry reached a crescendo yesterday when Palestinians #39; great musical hope bowed out to his Libyan competition in an internationally televised talent quest."
3,WPP says it won bid,"WPP said on Sunday that it had won the bidding for Grey Global Group, the seventh-largest agency company, ending a summer-long takeover battle in which it outlasted Havas of France and a US private equity firm, Hellman Friedman."
4,Private Rocket Ship Lands in California After Flight (Reuters),Reuters - SpaceShipOne completed the first\leg of its bid for a  #36;10-million civilian space prize with a\wild corkscrew-like ascent into space above the California\desert on Wednesday.
4,Russia #39;s space agency approves international space station #39;s next &lt;b&gt;...&lt;/b&gt;,"MOSCOW -- An American and a Russian, both space veterans, have been selected as the next replacement crew for the international space station, a Russian agency spokesman said Tuesday."
2,Glazer forces out Man Utd directors,"Three directors of Manchester United have been ousted from the board after US tycoon Malcolm Glazer, who is attempting to buy the club, voted against their re-election."
3,3 Directors at Cox to Study Bid by Parent to Take Unit Private,"ox Communications, the nation #39;s third-largest cable television operator, has formed a committee to consider the \$7.9 billion bid by its parent, Cox Enterprises, to take the company private. "
2,Clemens Leaning Toward Retirement (AP),"AP - Right now, Roger Clemens is leaning toward retirement. Fortunately for his Houston Astros, he's still making up his mind."
4,Japan gives OK to Sun desktop suite,"The Japanese government has approved Sun Microsystems #39; open-source desktop software for use within one of its ministries, Sun is expected to announce."
3,FASB Orders Options Counted as Expenses,"Accounting standards setters yesterday issued a long-awaited plan requiring companies to treat stock options as expenses on their books, even as lobbyists vowed to derail the initiative before it takes effect in June."
1,Bomb Alert Prompts Greek Plane to Land in London," LONDON (Reuters) - A bomb alert prompted a Greek Olympic  passenger airliner to make an emergency landing at London's  Stansted Airport on Sunday, an airport spokesman said."
2,Thinking of Winchester,"Navy coaches remember Ron Winchester's gregarious personality Monday, four days after the former Midshipmen tackle was killed in the Al Anbar province in western Iraq."
2,Rain halts qualifying for Sylvania 300,The Chase for the Championship begins Sunday exactly where it left off a week ago at Richmond International Speedway. After rain interrupted and washed out NASCAR Nextel Cup 
2,LA up 2-1/2 games in West,Shawn Green can sit out today knowing he was already a huge help to the Los Angeles Dodgers during their crucial series against San Francisco.
4,Congress Fails to Act on Copyright Bills,Controversial bills proposed new penalties (including jail time) for copyright violations.
4,Cisco pays \$200 million for software IP developer P-Cube,"LONDON - The shopping spree continues at Cisco Systems Inc., which said Monday (Aug. 23) it would buy privately-held P-Cube Inc., a developer of IP service platforms."
3,Bank Of America Layoffs Effect Fleet Banks Employees,Bank of America acquired Boston-based Fleet Financial Corporation last Spring -- promising at the time there would be no job cuts from the merger. 
3,Italian airline company agrees crucial labor deal with trade &lt;b&gt;...&lt;/b&gt;,"Italian airline company Alitalia unions and management on Saturday agreed on new contract terms for flight assistants, ending a tense round of negotiations involving the airline #39;s workers."
4,US top of supercomputing charts,"IBM's Blue Gene/L was  named the fastest supercomputer in the world on Monday, pushing Japan off the top of the list."
4,US government needs to step up cybersecurity: industry group (AFP),"AFP - The US government is falling short in cybersecurity efforts and should take immediate steps to protect the country's technological resources, an industry group said."
1,Arab League FMs consider pressure on Syria to quit Lebanon,"Arab foreign ministers faced the divisive issue of Syria #39;s role in Lebanon when they met here Tuesday, a day after Gulf states and Jordan endorsed a UN call for Syria to withdraw its troops from Lebanon."
1,US soldiers killed in Iraq ambush,"US soldiers are killed in an ambush on a military convoy near Falluja in Iraq, officials say."
2,Sexton Gets The Start For UNC,"For at least their next two games, Florida State will have a new face under center. Head coach Bobby Bowden announced Monday morning that redshirt sophomore Wyatt Sexton would start in place of fifth-year "
4,Napster Creator Touts Legal File Sharing,"Shawn Fanning's Napster software enabled countless music fans to swap songs on the Internet for free, turning him into the recording industry's enemy No. 1 in the process."
3,GM Likely to Cut Jobs in Europe," DETROIT (Reuters) - General Motors Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GM.N target=/stocks/quickinfo/fullquote""&gt;GM.N&lt;/A&gt;, in the  midst of reassessing its unprofitable European operations, is  not ruling out closing a plant there and is likely to cut some  jobs, a GM spokesman said on Wednesday."
3,Boring Game? Outsource It,"It's not just work that's being outsourced from wealthy nations to poorer ones. These days, online gamers in developing countries are being paid to earn virtual goods that wealthier players are too lazy or unskilled to win on their own. By Laila Weir."
2,"Hopkins #39; big win, bigger paydays","Bernard Hopkins seeks to cash in on his knockout of Oscar De La Hoya, who must ponder an uncertain future. By wire services. LAS VEGAS - Bernard Hopkins #39; future seems certain for once, full of big fights and even bigger paydays."
3,Jarvis facing collapse as debts mount,CRISIS-rocked rail and road contracting firm Jarvis sent its shares crashing again yesterday when it gave warning it faced collapse within weeks if it could not reschedule debt-repayments with its banks.
1,Ivan Pummels Jamaica; 50 Dead in Caribbean,"KINGSTON, Jamaica - Hurricane Ivan lashed Jamaica with monstrous waves, driving rain and winds nearing 155 mph Saturday, killing at least five people as it washed away homes and tore roofs off houses and trees from the ground but unexpectedly spared the island from a direct hit.    In the storm's wake, authorities in hard-hit Grenada found another eight bodies, raising the toll on the island to 34 dead and the toll across the Caribbean to 50..."
3,US Treasury report finds no forex manipulation,"None of the United States #39; major trading partners manipulated their currencies to gain economic advantage in the first half of 2004, the US Treasury Department said in a report released on Friday."
1,Vibrating sex toy shuts Australian airport,"MACKAY, AUSTRALIA - A vibrating sex toy tossed in a garbage can shut down operations at an Australian airport for about an hour on Monday."
2,Barca extend Spanish lead,Barcelona held off a spirited comeback by newcomers Getafe to claim a nervous 2-1 win and cement their hold on the leadership of the Primera Liga on Saturday.
3,Palm Beach: Relief underway,"With only the remnants of Hurricane Frances still around, the relief has begun in Palm Beach County. Officials began setting up five "
1,Parliamentary panel to probe Beslan tragedy,": Apparently responding to wide public dismay over last week #39;s school hostage-taking, President Vladimir Putin on Friday agreed to formation of a parliamentary investigative commission."
2,First defeat for Syracuse,"Stephen Graham scored 16 points, including two 3-point plays in the final 4 1/2 minutes, and No. 5 Oklahoma State beat No. 4 Syracuse, 74-60, last night in the Jimmy V Classic at New York."
2,Nedved quits international scene,Czech Republic midfielder Pavel Nedved has announced he is quitting international football to concentrate on his club career with Juventus.
3,HHS Orders Avian Flu Vaccine from Aventis, WASHINGTON (Reuters) - The U.S. Health and Human Services  Department said on Tuesday it had ordered 2 million doses of  avian influenza vaccine from Aventis Pasteur Inc.   .
1,Iraqi resistance could be broader than US claims,"During the past 30 days, more than 2,300 attacks have been directed against civilians and military targets in Iraq, in a pattern that sprawls over nearly every major population "
1,A second explosion rocks Baghdads Green Zone,"Another car bomb struck at a checkpoint leading to Baghdad #39;s Green Zone government compound early Tuesday, 24 hours after a similar attack on the same checkpoint, a US military spokesman and Iraqi police said."
4,Market Underestimates Dell Consumer Electronics,Credit Suisse First Boston maintained an  quot;outperform quot; rating for Dell (nasdaq: DELL - news - people ) after the company expanded its line of consumer electronics (CE) products.
3,Second oil spill this week shuts down Nfld rig,"ST. JOHN #39;S, Nfld. - Officials have shut down a drilling rig at the Terra Nova offshore oil project following another oil spill Thursday morning."
2,Reports say talks with Irish duo have collapsed,"LONDON (CBS.MW) -- Manchester United, the most well-known soccer club in the world, is expected Friday to make a statement on the status of its takeover approach, the BBC reported, as speculation grows that Malcolm Glazer #39;s talks with its largest "
1,Indonesia Pursues Two Terror Suspects (AP),AP - Indonesian police pursued a manhunt Sunday for two of Southeast Asia's most wanted terrorism suspects while warning of the danger of more suicide attacks on Western interests in the wake of a lethal bombing outside the Australian Embassy.
4, #39;San Andreas #39;: Like Gorgeous Graffiti on Your Front Door,"I look at Grand Theft Auto: San Andreas about the same way I might view gorgeous graffiti painted on my front door. No matter how artistic this game might be, I do not welcome it."
2,Still Under Wraps,"Although Joe Gibbs is back in Washington, we're unlikely to see any elements of his offensive system on display until Opening Day."
4,The Fox Is in Microsoft #39;s Henhouse (and Salivating),"Published by the Mozilla Foundation, a nonprofit group supporting open-source software that draws upon the skills of hundreds of volunteer programmers, Firefox is a Web browser that is fast "
1,Hard-Line Serbian Defends Milosevic (AP),AP - Slobodan Milosevic angrily refused to work with two court-appointed lawyers Tuesday as they called the first witness in his war crimes defense case  #151; an elderly Serbian nationalist who taught the ex-Yugoslav leader law and advised the wartime Serbian government.
4,GE to sell 60 of Indian BPO operation,"GE is selling a 60 stake in GE Capital International Services, its business process outsourcing subsidiary in India, for about \$500 million."
1,Stocks Rise on Strong Retail Sales Report,"NEW YORK - Stocks rebounded moderately Friday as a stronger than expected retail sales report showed that higher oil prices aren't scaring consumers away from spending. Federal Reserve Chairman Alan Greenspan's positive comments on oil prices also encouraged investors, but the major indexes finished the week lower following sharp declines the previous two sessions..."
3,US Aug. Durables Orders Rise 2.3 Ex-Transportation (Update4),"Orders increased at US factories in August for a range of durable goods, including automobiles, metals and communications equipment, evidence manufacturing will help drive the economic expansion."
1,Congo army factions clash,"eastern town of Goma before the 11,000-strong UN force in Congo sent up a helicopter to have a look.  quot;We flew over the area and the situation was calm."
3,Penn National becomes US third largest casino giant after takeover &lt;b&gt;...&lt;/b&gt;,"Penn National Gaming Inc., parent of the Hollywood Casino in Aurora, has struck a \$1.4 billion deal to buy the parent of Joliet #39;s Empress Casino, a deal that could make it the nation #39;s third-largest casino operator, Chicago Sun Times reported."
4,Predicting the Path of an Inferno,"Flames leap 200 feet in the air and burn at 2,000 degrees. A rain of fire sets thousands of acres ablaze. The smoke jumpers may get the glory, but the battle is being won by the wildfire-simulation brigade. By Michael Behar from Wired magazine."
2,Another Manning controls a team #39;s future,"This is a rotten time for moral victories. Like it or not, the New York Giants received one Sunday. While their playoff hopes took another hit when their rally "
2,Cuba Sends Seven to the Gold-Medal Round,Cuba put seven of its eight boxers into this weekend #39;s Olympic boxing finals and has an opportunity to equal the seven boxing golds it won in the 
1,House Defeats Gay Marriage Ban Amendment,"WASHINGTON - The House followed the Senate in decisively rejecting a constitutional amendment banning gay marriage, ending for this year debate on what has become the dominant issue for the Republican Party's conservative base.    The 227-186 vote in the House Thursday was well short of the two-thirds majority needed to advance a constitutional amendment, but fulfilled a promise by backers to get lawmakers on the record on the highly sensitive issue in the run-up to Election Day..."
3,German business confidence drops,"Business confidence in Germany, Europe #39;s largest economy, has fallen to its lowest level in more than a year, over concerns at a strengthening euro."
4,PalmSource Drops on Analyst Downgrade,PalmSource Inc. shares slipped more than 9 percent in Monday trading after an analyst downgraded the company on concerns that its future sales could be decimated if sister firm palmOne Inc.
2,Cal Receiver Expects to Play in Finale (AP),AP - California receiver Jonathan Makonnen expects to play in the regular-season finale Saturday at Southern Mississippi after missing the last four games with a bruised liver.
1,EDITORIAL: Time for Annan to resign post,"On Thursday, Sen. John Ensign of Nevada joined Sen. Norm Coleman of Minnesota in calling for the immediate resignation of UN Secretary-General Kofi Annan."
4,Mild El Nino Developing in Pacific (AP),"AP - A mild El Nino is developing in the Pacific Ocean, climate experts said Friday. El Ninos can affect weather in other areas, sometimes worldwide."
4,Apple posts highest Q4 revenue in almost a decade,"Apple Computer's iPod music player helped the company increase revenue at a dizzying rate, leading to its highest fourth-quarter revenue in nine years."
2,Craig Counsel rejoins Diamondbacks,Counsell was a member of Arizona #39;s 2001 World Series championship team as well as the 1997 world champion Florida Marlins. He was the Most Valuable Player of the 2001 National 
2,"Oklahoma Dominates Nebraska, 30-3"," NORMAN, Okla. (Sports Network) - Jason White completed  29-of-35 passes for 383 yards and three touchdowns as No. 2  Oklahoma dominated Nebraska, 30-3, in Big 12 action at Memorial  Stadium."
4,FileMaker Unveils Advanced Server Edition At Devcon,"At the FileMaker Developers Conference in Phoenix this week, the company will announce availability of FileMaker 7 Advanced Server Edition, and boast about the 10 million copies of its eponymous database that have shipped since 1984."
1,"Powell, Russian official in Ukraine clash","The United States and Russia clashed yesterday at a European security forum over the crisis of Ukraine #39;s disputed election, elevating "
3,Two Regional Bells Sue To Lift Access-Price Freeze,Verizon and Qwest have asked a federal court to force the FCC to drop its price freeze on the fees their competitors pay to connect to their regional networks.
1,Eight Arrested after Murder of Filmmaker,"Police arrested eight suspected Islamic radicals as part of investigations into the brutal killing of outspoken Dutch filmmaker Theo van Gogh, Dutch prosecutors said today."
4,Security improvements essential for ebusiness to succeed,"Better IT security and identity management is needed if online commerce and egovernment services are to succeed, according to RSA Security chief executive Arthur Coviello."
1,Santini's departure nothing to do with me insists Arnesen (AFP),"AFP - Jacques Santini's shock resignation as Spurs coach had nothing to do with any rumoured falling out with Tottenham's sporting director Frank Arnesen, the Dane insisted."
3,Geico Wants To Restrict Google Ads,Geico Corp. yesterday urged a federal judge in Alexandria to issue an injunction prohibiting Internet giant Google Inc. from selling ads based on searches using the Washington insurance giant #39;s 
3,Shoppers offer retailers cheer,"Retailers generally had a good showing as the Christmas shopping season began last weekend, but Wal-Mart Stores Inc. dampened the holiday mood with a lump of coal as it reduced its projected sales."
2,India end losing streak with thrilling win,London: The hallowed turfs of Lord #39;s once again provided the inspiration for the Indian team who ended their five-match losing streak with a thrilling 23-run victory over England in the third and final NatWest Challenge one-day cricket international here 
4,US shuts down British media Web sites,"By request from the United States, British authorities shut down 20 independent media Web sites without explanation, The Guardian reported Monday."
4,Duke Study on Chemicals to Use Tiny Worms (AP),AP - _ Tiny worms are taking the place of laboratory rats and mice for a Duke University scientist studying the effect of chemicals on the body.
1,Palestinians Attack Settlement After Arafat Dies, GAZA (Reuters) - Palestinian militants angry over Yasser  Arafat's death attacked a Jewish settlement in the Gaza Strip  on Thursday in what they said signaled the start of a new round  of clashes against Israel.
1,Israeli Shelling Kills 3 in Gaza Camp -Witnesses," GAZA (Reuters) - Israeli forces hunting Palestinian  militants shelled a Gaza Strip refugee camp on Friday, killing  at least three people and wounding several others, witnesses  and medical officials said."
2,MLB Owners to Vote,Baseball commissioner Bud Selig schedules a conference call for Friday for owners to vote on the proposed move of the Montreal Expos to Washington.
3,Dollar Firms as Focus Turns to U.S. Data," NEW YORK (Reuters) - The dollar gained tentatively on  Monday, recovering from last week's record low against the euro  and a 4-1/2-year trough against the yen as traders turned their  sights to U.S. economic reports due later in the week."
4,New Russian-US crew ready for launch to space station,"A Russian-US expedition will take off Thursday morning to the International Space Station (ISS) on asix-month mission, local media reported Wednesday."
2,American Bowl returns to Tokyo in 2005,"The Atlanta Falcons and Indianapolis Colts will begin the preseason Aug. 6 in the American Bowl in Tokyo, the record 12th time an NFL game will be played in the city."
3,Lazard in vital float meeting,"THE board of investment bank Lazard meets today to consider a float on Wall Street that could value the firm at 1.7bn, according to reports."
3,Trade Deficit Swells to Record \$55B,America #39;s trade deficit swelled to an all-time high of \$55.5 billion in October as imports -- including those from China -- surged to the loftiest levels on record.
2,"Phillies to keep Wagner, Rodriguez","The Philadelphia Phillies Friday picked up the options on two pitchers, including closer Billy Wagner. Under the terms of his contract, Wagner, 33, will be paid \$9,000,000 next season."
3,"US Airways asks to scrap union accords, terminate costly pensions","WASHINGTON (AFP) - US Airways, taking punishing losses, asked a bankruptcy judge to let it scrap deals with three unions, terminate pensions with set payouts, and slash health benefits."
4,SANS Top 20 unveiled,"CIOs and security executives are desperately playing catch-up with unauthorized users of IM and P2P clients, who are sharing music files and videos on company time, and with company resources."
3,"Sears Posts a Loss, Cuts Year Outlook","Sears, Roebuck  amp; Co (SN: Quote, Profile, Research) , the largest US department store chain, on Thursday posted a third-quarter loss as its sales continued to slide, prompting the company to cut its full-year profit forecast."
2,Agassi Reaches Semifinals at Stockholm,"STOCKHOLM, Sweden Oct 29, 2004 - Top-seeded Andre Agassi beat Spain #39;s Fernando Verdasco 7-6 (4), 6-2 Friday to reach the Stockholm Open semifinals for the first time."
